<<< Spectrum Data for LSA Series Signal Analyzer >>>
                  (c) Copyright 2008, Aeroflex.Ltd 2.002
*** Spectrum Infomation ***
Center,1500000000,Hz
Span,3000000000,Hz
RBW,5000000,Hz
VBW,3000000,Hz
Sweep,20000,msec
*** Spectrum Trace ***
Num,TraceA(Hz),TraceA(dBm),TraceB(Hz),TraceB(dBm),TraceC(Hz),TraceC(dBm)
0123,1839195980,-65.65,0,0.00,0,0.00
0124,1854271357,-87.36,0,0.00,0,0.00
0125,1869346734,-64.54,0,0.00,0,0.00
0126,1884422111,-87.07,0,0.00,0,0.00
0127,1899497487,-65.40,0,0.00,0,0.00
0128,1914572864,-87.00,0,0.00,0,0.00
0129,1929648241,-61.09,0,0.00,0,0.00
0130,1944723618,-84.85,0,0.00,0,0.00
0131,1959798995,-59.62,0,0.00,0,0.00
0132,1974874372,-85.60,0,0.00,0,0.00
0133,1989949749,-63.62,0,0.00,0,0.00
0134,2005025126,-88.41,0,0.00,0,0.00
0135,2020100503,-65.77,0,0.00,0,0.00
0136,2035175879,-86.51,0,0.00,0,0.00
0137,2050251256,-63.96,0,0.00,0,0.00
0138,2065326633,-87.78,0,0.00,0,0.00
0139,2080402010,-64.27,0,0.00,0,0.00
0140,2095477387,-87.06,0,0.00,0,0.00
0141,2110552764,-62.93,0,0.00,0,0.00
0142,2125628141,-87.78,0,0.00,0,0.00
0143,2140703518,-63.42,0,0.00,0,0.00
0144,2155778894,-86.77,0,0.00,0,0.00
0145,2170854271,-64.43,0,0.00,0,0.00
0146,2185929648,-88.37,0,0.00,0,0.00
0147,2201005025,-64.06,0,0.00,0,0.00
0148,2216080402,-87.92,0,0.00,0,0.00
0149,2231155779,-64.38,0,0.00,0,0.00
0150,2246231156,-87.87,0,0.00,0,0.00
0151,2261306533,-64.38,0,0.00,0,0.00
0152,2276381910,-89.23,0,0.00,0,0.00
0153,2291457286,-64.37,0,0.00,0,0.00
0154,2306532663,-88.94,0,0.00,0,0.00
0155,2321608040,-65.44,0,0.00,0,0.00
0156,2336683417,-86.97,0,0.00,0,0.00
0157,2351758794,-65.21,0,0.00,0,0.00
0158,2366834171,-91.11,0,0.00,0,0.00
0159,2381909548,-65.73,0,0.00,0,0.00
0160,2396984925,-87.00,0,0.00,0,0.00
0161,2412060302,-65.29,0,0.00,0,0.00
0162,2427135678,-86.25,0,0.00,0,0.00
0163,2442211055,-64.83,0,0.00,0,0.00
0164,2457286432,-91.24,0,0.00,0,0.00
0165,2472361809,-64.88,0,0.00,0,0.00
0166,2487437186,-87.87,0,0.00,0,0.00
0167,2502512563,-65.91,0,0.00,0,0.00
0168,2517587940,-87.45,0,0.00,0,0.00
0169,2532663317,-64.63,0,0.00,0,0.00
0170,2547738693,-92.01,0,0.00,0,0.00
0171,2562814070,-65.10,0,0.00,0,0.00
0172,2577889447,-86.41,0,0.00,0,0.00
0173,2592964824,-64.97,0,0.00,0,0.00
0174,2608040201,-87.07,0,0.00,0,0.00
0175,2623115578,-63.50,0,0.00,0,0.00
0176,2638190955,-85.87,0,0.00,0,0.00
0177,2653266332,-62.59,0,0.00,0,0.00
0178,2668341709,-86.20,0,0.00,0,0.00
0179,2683417085,-64.10,0,0.00,0,0.00
0180,2698492462,-88.82,0,0.00,0,0.00
0181,2713567839,-63.05,0,0.00,0,0.00
0182,2728643216,-90.81,0,0.00,0,0.00
0183,2743718593,-63.71,0,0.00,0,0.00
0184,2758793970,-86.05,0,0.00,0,0.00
0185,2773869347,-65.23,0,0.00,0,0.00
0186,2788944724,-87.98,0,0.00,0,0.00
0187,2804020101,-64.78,0,0.00,0,0.00
0188,2819095477,-88.86,0,0.00,0,0.00
0189,2834170854,-65.68,0,0.00,0,0.00
0190,2849246231,-88.80,0,0.00,0,0.00
0191,2864321608,-64.47,0,0.00,0,0.00
0192,2879396985,-87.50,0,0.00,0,0.00
0193,2894472362,-65.79,0,0.00,0,0.00
0194,2909547739,-87.18,0,0.00,0,0.00
0195,2924623116,-65.01,0,0.00,0,0.00
0196,2939698492,-85.86,0,0.00,0,0.00
0197,2954773869,-64.23,0,0.00,0,0.00
0198,2969849246,-86.80,0,0.00,0,0.00
0199,2984924623,-64.28,0,0.00,0,0.00
0200,3000000000,-82.02,0,0.00,0,0.00
